icao,ident,name,municipality,state,latitude_deg,longitude_deg,iso_country,type,point_category,source
SBGP,SBGP,EMBRAER - Unidade Gavião Peixoto,GAVIÃO PEIXOTO,SP,-21.764444,-48.404722,BR,private_aerodrome,Brasil,ANAC_privados
SBIT,SBIT,Hidrelétrica de Itumbiara,ITUMBIARA,GO,-18.445,-49.214167,BR,private_aerodrome,Brasil,ANAC_privados
SBOA,SBOA,Fazenda Antas,SAPÉ,PB,-6.9733333,-35.253333,BR,private_aerodrome,Brasil,ANAC_privados
SBOB,SBOB,Fazenda Buriti,UNAÍ,MG,-16.3225,-47.223333,BR,private_aerodrome,Brasil,ANAC_privados
SBOD,SBOD,Fazenda Santa Cruz,ARAGUAÍNA,TO,-7.4558333,-49.195556,BR,private_aerodrome,Brasil,ANAC_privados
SBOE,SBOE,Fazenda Americana,QUERÊNCIA,MT,-12.587222,-52.096389,BR,private_aerodrome,Brasil,ANAC_privados
SBOF,SBOF,FAZENDA BANDEIRANTES,CHAPADÃO DO SUL,MS,-19.318611,-52.533333,BR,private_aerodrome,Brasil,ANAC_privados
SBOG,SBOG,Fazenda Vereda Grande,VITÓRIA DA CONQUISTA,BA,-14.784722,-40.816944,BR,private_aerodrome,Brasil,ANAC_privados
SBOH,SBOH,Fazenda São Sebastião,TESOURO,MT,-15.999167,-53.543056,BR,private_aerodrome,Brasil,ANAC_privados
SBOJ,SBOJ,Crepurizão,ITAITUBA,PA,-6.82,-56.841389,BR,private_aerodrome,Brasil,ANAC_privados
SBOK,SBOK,Fazenda São Vicente,LUCAS DO RIO VERDE,MT,-13.290556,-55.975,BR,private_aerodrome,Brasil,ANAC_privados
SBOL,SBOL,Fazenda Santa Lúcia,APORÉ,GO,-18.920278,-52.001389,BR,private_aerodrome,Brasil,ANAC_privados
SBOM,SBOM,Fazenda Santa Maria,LAMBARI D'OESTE,MT,-15.377222,-57.681944,BR,private_aerodrome,Brasil,ANAC_privados
SBON,SBON,Fazenda Renascer,GOIATINS,TO,-7.6155556,-47.451667,BR,private_aerodrome,Brasil,ANAC_privados
SBOO,SBOO,Fazenda Ceita Corê,BONITO,MS,-20.838611,-56.588611,BR,private_aerodrome,Brasil,ANAC_privados
SBOP,SBOP,Arena Corinthians,SÃO PAULO,São Paulo,-23.544167,-46.477778,BR,heliport,Brasil,ANAC_helipontos
SBOQ,SBOQ,Fazenda Irmãs Prata,CHAPADÃO DO CÉU,GO,-18.621111,-52.833056,BR,private_aerodrome,Brasil,ANAC_privados
SBOR,SBOR,Fazenda AgroTamareira,MUNDO NOVO,GO,-13.730278,-50.358056,BR,private_aerodrome,Brasil,ANAC_privados
SBOS,SBOS,Fazenda Santo Augusto,BRASNORTE,MT,-13.152778,-58.1175,BR,private_aerodrome,Brasil,ANAC_privados
SBOT,SBOT,Fazenda Eldorado,MONÇÃO,MA,-3.6919444,-45.268889,BR,private_aerodrome,Brasil,ANAC_privados
SBOU,SBOU,Fazenda São Jerônimo,NOVA CANAÃ DO NORTE,MT,-10.270278,-55.786111,BR,private_aerodrome,Brasil,ANAC_privados
SBOV,SBOV,Fazenda Tabatinga,SANTA RITA DO TRIVELATO,MT,-14.159444,-54.926667,BR,private_aerodrome,Brasil,ANAC_privados
SBOW,SBOW,Fazenda Agropecuária Vale do Ouro,ITAITUBA,PA,-4.1866667,-56.058056,BR,private_aerodrome,Brasil,ANAC_privados
SBOX,SBOX,FAZENDA BAIA MORENA,CORUMBÁ,MS,-18.26,-55.374444,BR,private_aerodrome,Brasil,ANAC_privados
SBOY,SBOY,Fazenda São José,CORUMBÁ,MS,-17.418333,-56.179722,BR,private_aerodrome,Brasil,ANAC_privados
SBOZ,SBOZ,Fazenda Arizona,CÁCERES,MT,-16.18,-57.278333,BR,private_aerodrome,Brasil,ANAC_privados
SBQA,SBQA,Fazenda Floresta,NAZÁRIO,GO,-16.536111,-49.838056,BR,private_aerodrome,Brasil,ANAC_privados
SBQB,SBQB,Fazenda Pedrinhas II,CORRENTINA,BA,-13.269444,-45.085,BR,private_aerodrome,Brasil,ANAC_privados
SBQC,SBQC,Fazenda Cantagalo,NOVA MUTUM,MT,-13.366389,-55.855,BR,private_aerodrome,Brasil,ANAC_privados
SBQD,SBQD,Fazenda Vaca Branca,ALTA FLORESTA,MT,-9.5233333,-56.238333,BR,private_aerodrome,Brasil,ANAC_privados
SBQE,SBQE,Fazenda Tradição,RIBEIRO GONÇALVES,PI,-7.8002778,-45.054167,BR,private_aerodrome,Brasil,ANAC_privados
SBQF,SBQF,Ferigolo,NOVA PALMA,Rio Grande do Sul,-29.461667,-53.463611,BR,heliport,Brasil,ANAC_helipontos
SBQG,SBQG,Fazenda Rio Azul,SÃO JOSÉ DO RIO CLARO,MT,-13.513056,-56.598333,BR,private_aerodrome,Brasil,ANAC_privados
SBQH,SBQH,CMTE Juliano Rambo,CONFRESA,MT,-10.698889,-51.615556,BR,private_aerodrome,Brasil,ANAC_privados
SBQJ,SBQJ,Osvaldo de Carvalho,IBAITI,PR,-23.846389,-50.208333,BR,private_aerodrome,Brasil,ANAC_privados
SBQK,SBQK,Fazenda Mundial,SÃO FÉLIX DO XINGU,PA,-6.5388889,-51.441944,BR,private_aerodrome,Brasil,ANAC_privados
SBQL,SBQL,Centro de Convenções Ponta da Praia,SANTOS,São Paulo,-23.984722,-46.294444,BR,heliport,Brasil,ANAC_helipontos
SBQM,SBQM,FAZENDA SÃO MIGUEL,JATEÍ,MS,-22.765278,-53.908333,BR,private_aerodrome,Brasil,ANAC_privados
SBQN,SBQN,Fazenda Nossa Senhora Aparecida II,PORTO ESTRELA,MT,-15.575278,-57.378056,BR,private_aerodrome,Brasil,ANAC_privados
SBQO,SBQO,Fazenda Paraíso,PRADO,BA,-17.0275,-39.176111,BR,private_aerodrome,Brasil,ANAC_privados
SBQP,SBQP,Fazenda Três Santos,URUÇUÍ,PI,-7.75,-44.316389,BR,private_aerodrome,Brasil,ANAC_privados
SBQQ,SBQQ,Comandante Gravatá,ANGRA DOS REIS,Rio de Janeiro,-23.018611,-44.319444,BR,heliport,Brasil,ANAC_helipontos
SBQR,SBQR,Fazenda Arena de Aço,BURITIZEIRO,MG,-16.808333,-44.973611,BR,private_aerodrome,Brasil,ANAC_privados
SBQS,SBQS,Santa Rosa,CAMPO VERDE,MT,-15.4075,-54.965556,BR,private_aerodrome,Brasil,ANAC_privados
SBQT,SBQT,Fazenda Campo Formoso,TESOURO,MT,-15.801944,-53.557778,BR,private_aerodrome,Brasil,ANAC_privados
SBQU,SBQU,Hungaro Helipark,ARAGUAÍNA,Tocantins,-7.2041667,-48.219722,BR,heliport,Brasil,ANAC_helipontos
SBQW,SBQW,Paíto Motors,ARARAS,São Paulo,-22.355556,-47.373611,BR,heliport,Brasil,ANAC_helipontos
SBQY,SBQY,LDB - Itapevi,ITAPEVI,São Paulo,-23.530278,-46.937222,BR,heliport,Brasil,ANAC_helipontos
SBQZ,SBQZ,Fazenda Mariane,BROTAS,São Paulo,-22.240278,-48.319167,BR,heliport,Brasil,ANAC_helipontos
SBTV,SBTV,Terravista,PORTO SEGURO,BA,-16.541389,-39.108056,BR,private_aerodrome,Brasil,ANAC_privados
SBUY,SBUY,Urucu,COARI,AM,-4.8830556,-65.355833,BR,private_aerodrome,Brasil,ANAC_privados
SD00,SD00,Americano Brito,TRAIRI,CE,-3.2580556,-39.3425,BR,private_aerodrome,Brasil,ANAC_privados
SD01,SD01,Fazenda Dona Ester,JUSSARA,GO,-15.806389,-51.413611,BR,private_aerodrome,Brasil,ANAC_privados
SD02,SD02,Agro Basso,LUÍS EDUARDO MAGALHÃES,BA,-11.9375,-45.8725,BR,private_aerodrome,Brasil,ANAC_privados
SD03,SD03,FAZENDA SÃO CRISTÓVÃO,BODOQUENA,MS,-20.675,-56.629444,BR,private_aerodrome,Brasil,ANAC_privados
SD04,SD04,Fazenda Sol Nascente,ITAITUBA,PA,-5.4902778,-57.214722,BR,private_aerodrome,Brasil,ANAC_privados
SD06,SD06,Pr Empreendimentos Agricolas,GOIATINS,TO,-8.0683333,-47.464722,BR,private_aerodrome,Brasil,ANAC_privados
SD07,SD07,Fazenda Ceres,SÃO DESIDÉRIO,BA,-13.1825,-45.636389,BR,private_aerodrome,Brasil,ANAC_privados
SD08,SD08,Fazenda Martelli 1,TAPURAH,MT,-12.531667,-56.708056,BR,private_aerodrome,Brasil,ANAC_privados
SD09,SD09,FAZENDA UNIÃO,SÃO FÉLIX DO ARAGUAIA,MT,-11.630833,-52.021389,BR,private_aerodrome,Brasil,ANAC_privados
SD0A,SD0A,Lara,CRICIÚMA,Santa Catarina,-28.651389,-49.343611,BR,heliport,Brasil,ANAC_helipontos
SD0D,SD0D,Equiplex,APARECIDA DE GOIÂNIA,Goiás,-16.82,-49.235278,BR,heliport,Brasil,ANAC_helipontos
SD0E,SD0E,Fazenda Tangará,SANTANA DO ARAGUAIA,PA,-9.6686111,-50.780833,BR,private_aerodrome,Brasil,ANAC_privados
SD0F,SD0F,Falcão Aereo Agricola,MARUMBI,Paraná,-23.674444,-51.644722,BR,heliport,Brasil,ANAC_helipontos
SD0G,SD0G,Fazenda Santa Paula,SÃO DESIDÉRIO,BA,-12.815,-45.485278,BR,private_aerodrome,Brasil,ANAC_privados
SD0J,SD0J,Vem Sonhar Comigo,GUARAPARI,Espírito Santo,-20.516944,-40.663889,BR,heliport,Brasil,ANAC_helipontos
SD0L,SD0L,Espaço Talismã,ATIBAIA,São Paulo,-23.063611,-46.487222,BR,heliport,Brasil,ANAC_helipontos
SD0M,SD0M,Fazenda Campo Dania,CORUMBÁ,MS,-18.580278,-57.478611,BR,private_aerodrome,Brasil,ANAC_privados
SD10,SD10,Fazenda Vale do Juruena 2,NOVA BANDEIRANTES,MT,-9.3913889,-58.221111,BR,private_aerodrome,Brasil,ANAC_privados
SD11,SD11,Amazon Runway,MANACAPURU,AM,-3.2316667,-60.486389,BR,private_aerodrome,Brasil,ANAC_privados
SD13,SD13,Agriter Agronegócios,BRASNORTE,MT,-13.048333,-57.791667,BR,private_aerodrome,Brasil,ANAC_privados
SD14,SD14,Bom Sucesso,VAZANTE,MG,-17.608333,-46.699167,BR,private_aerodrome,Brasil,ANAC_privados
SD15,SD15,Fazenda Nova Conquista,SERRA NOVA DOURADA,MT,-12.020556,-51.334722,BR,private_aerodrome,Brasil,ANAC_privados
SD17,SD17,Dwg Guarda-Mor,GUARDA-MOR,MG,-17.760278,-47.110556,BR,private_aerodrome,Brasil,ANAC_privados
SD18,SD18,IFB,GOIÂNIA,Goiás,-16.695556,-49.199167,BR,heliport,Brasil,ANAC_helipontos
SD19,SD19,Fazenda Anta Gorda II,SÃO JOSÉ DO RIO CLARO,MT,-13.799444,-57.179167,BR,private_aerodrome,Brasil,ANAC_privados
SD1A,SD1A,Ninho Verde II,PARDINHO,São Paulo,-23.142778,-48.424722,BR,heliport,Brasil,ANAC_helipontos
SD1B,SD1B,Gaspar,CUJUBIM,RO,-8.8122222,-62.406111,BR,private_aerodrome,Brasil,ANAC_privados
SD1C,SD1C,Fazenda Indiana,ITIQUIRA,MT,-17.633611,-54.295,BR,private_aerodrome,Brasil,ANAC_privados
SD1D,SD1D,Fazenda Ponte de Pedra,CAMPO NOVO DO PARECIS,MT,-13.5875,-57.466389,BR,private_aerodrome,Brasil,ANAC_privados
SD1E,SD1E,Fazenda Rio Capim,PARAGOMINAS,PA,-3.5563889,-48.647222,BR,private_aerodrome,Brasil,ANAC_privados
SD1F,SD1F,Fazenda Marupiara,TAILÂNDIA,PA,-2.7555556,-48.526111,BR,private_aerodrome,Brasil,ANAC_privados
SD1G,SD1G,Época,CONTAGEM,Minas Gerais,-19.900556,-44.064722,BR,heliport,Brasil,ANAC_helipontos
SD1I,SD1I,Fazenda São João Agroer,GAÚCHA DO NORTE,MT,-13.486111,-53.945278,BR,private_aerodrome,Brasil,ANAC_privados
SD1J,SD1J,Fazenda São Joaquim,AMAJARI,RR,3.48194444,-61.134444,BR,private_aerodrome,Brasil,ANAC_privados
SD1K,SD1K,Fazenda Ranchinho,CAMAPUÃ,MS,-19.530278,-53.536389,BR,private_aerodrome,Brasil,ANAC_privados
SD1L,SD1L,Grupo Shimohira - TO,PONTE ALTA DO TOCANTINS,TO,-10.886944,-47.223611,BR,private_aerodrome,Brasil,ANAC_privados
SD1M,SD1M,FAZENDA RIO BRANCO,MARACAJU,MS,-21.660278,-55.700278,BR,private_aerodrome,Brasil,ANAC_privados
SD1N,SD1N,Fazenda Novo Horizonte,MIRANDA,MS,-20.008611,-56.325556,BR,private_aerodrome,Brasil,ANAC_privados
SD1P,SD1P,Fazenda Agropecuária Rio da Prata,SANTA BÁRBARA DO PARÁ,PA,-1.2080556,-48.161944,BR,private_aerodrome,Brasil,ANAC_privados
SD1Q,SD1Q,Rincão dos Sonhos,BONITO,MS,-21.238333,-56.529444,BR,private_aerodrome,Brasil,ANAC_privados
SD1R,SD1R,Fazenda Reginatto,FORMOSA DO RIO PRETO,BA,-10.744444,-45.657222,BR,private_aerodrome,Brasil,ANAC_privados
SD1S,SD1S,Fazenda Muralha,CHUPINGUAIA,RO,-12.796944,-60.65,BR,private_aerodrome,Brasil,ANAC_privados
SD1U,SD1U,CRUZEIRO DO SUL,IMARUÍ,SC,-28.269167,-48.887778,BR,private_aerodrome,Brasil,ANAC_privados
SD1V,SD1V,Fazenda Lago Azul,NOVA CRIXÁS,GO,-13.997222,-50.799722,BR,private_aerodrome,Brasil,ANAC_privados
SD1X,SD1X,Fazenda Querência Agroer,PARANATINGA,MT,-14.233611,-53.904444,BR,private_aerodrome,Brasil,ANAC_privados
SD1Y,SD1Y,Fazenda Indaiá III,PARAÍSO DAS ÁGUAS,MS,-19.191667,-53.294444,BR,private_aerodrome,Brasil,ANAC_privados
SD1Z,SD1Z,Outland Serra da Mesa,NIQUELÂNDIA,GO,-14.250833,-48.276389,BR,private_aerodrome,Brasil,ANAC_privados
SD20,SD20,Pousada Cavaleiro Dos Pirineus,PIRENÓPOLIS,Goiás,-15.836111,-48.948889,BR,heliport,Brasil,ANAC_helipontos
SD22,SD22,Fazenda Santa Ana,CORUMBIARA,RO,-13.006111,-61.240278,BR,private_aerodrome,Brasil,ANAC_privados
SD23,SD23,Fazenda Paraíso,DOURADOS,MS,-22.093889,-55.375833,BR,private_aerodrome,Brasil,ANAC_privados
SD24,SD24,Fazenda Paiaguás,DIAMANTINO,MT,-14.072222,-57.450556,BR,private_aerodrome,Brasil,ANAC_privados
SD26,SD26,Fazenda São Paulo,CORUMBÁ,MS,-18.544167,-55.570833,BR,private_aerodrome,Brasil,ANAC_privados
SD27,SD27,Campo Formoso,CAMPO FORMOSO,BA,-10.494722,-40.4875,BR,private_aerodrome,Brasil,ANAC_privados
SD29,SD29,Faz Entre Rios I,FIGUEIRÃO,MS,-18.6975,-54.373889,BR,private_aerodrome,Brasil,ANAC_privados
SD2A,SD2A,Pista Maranhense,ITAITUBA,PA,-5.3538889,-57.473889,BR,private_aerodrome,Brasil,ANAC_privados
SD2B,SD2B,Fazenda Santa Edwiges,SANTO ANTÔNIO DO LEVERGER,MT,-16.694444,-55.136111,BR,private_aerodrome,Brasil,ANAC_privados
SD2C,SD2C,A Tartaruga,ANGRA DOS REIS,Rio de Janeiro,-23.029722,-44.349167,BR,heliport,Brasil,ANAC_helipontos
SD2D,SD2D,Fazenda São Mateus,NOVA MARINGÁ,MT,-12.255,-57.2575,BR,private_aerodrome,Brasil,ANAC_privados
SD2E,SD2E,Fazenda Santa Ana,CONFRESA,MT,-10.689722,-51.473056,BR,private_aerodrome,Brasil,ANAC_privados
SD2F,SD2F,Fazenda Planura,SANTA MARIA DAS BARREIRAS,PA,-8.9575,-50.104167,BR,private_aerodrome,Brasil,ANAC_privados
SD2G,SD2G,Linha Becker,ITAPIRANGA,SC,-27.109444,-53.7775,BR,private_aerodrome,Brasil,ANAC_privados
SD2H,SD2H,Torre Jequitibá,SÃO PAULO,São Paulo,-23.625278,-46.705556,BR,heliport,Brasil,ANAC_helipontos
SD2I,SD2I,Estância Rancharia Aviação,RANCHARIA,SP,-22.175556,-50.908056,BR,private_aerodrome,Brasil,ANAC_privados
SD2J,SD2J,Fazenda Vale do Forquilha,COCALINHO,MT,-13.004444,-50.982778,BR,private_aerodrome,Brasil,ANAC_privados
SD2K,SD2K,Jotabasso Guiratinga,GUIRATINGA,MT,-16.266389,-53.430278,BR,private_aerodrome,Brasil,ANAC_privados
SD2L,SD2L,Fazenda Ágape,NOVA LACERDA,MT,-14.120833,-59.914167,BR,private_aerodrome,Brasil,ANAC_privados
SD2M,SD2M,Fazenda do Taboado,APARECIDA DO TABOADO,MS,-20.195833,-51.074722,BR,private_aerodrome,Brasil,ANAC_privados
SD2N,SD2N,Érico Veríssimo,CRUZ ALTA,RS,-28.720278,-53.645278,BR,private_aerodrome,Brasil,ANAC_privados
SD2O,SD2O,Bethaville Empresarial Itú,ITU,São Paulo,-23.315833,-47.323056,BR,heliport,Brasil,ANAC_helipontos
SD2P,SD2P,Fazenda São Gabriel,MATEIROS,TO,-10.303611,-45.804722,BR,private_aerodrome,Brasil,ANAC_privados
SD2Q,SD2Q,Fazenda Bom Jesus,BELA VISTA,MS,-21.710278,-56.309444,BR,private_aerodrome,Brasil,ANAC_privados
SD2R,SD2R,Fazenda São Sebastião,BONITO,MS,-21.019722,-56.276111,BR,private_aerodrome,Brasil,ANAC_privados
SD2S,SD2S,Fazenda Flor de Liz,GAÚCHA DO NORTE,MT,-13.061111,-53.003611,BR,private_aerodrome,Brasil,ANAC_privados
SD2T,SD2T,Edson Keller,PARANATINGA,MT,-12.536111,-54.106389,BR,private_aerodrome,Brasil,ANAC_privados
SD2U,SD2U,Portofino Riviera Villas,AQUIRAZ,Ceará,-3.9197222,-38.331111,BR,heliport,Brasil,ANAC_helipontos
SD2V,SD2V,Fazenda Santo Antônio,SORRISO,MT,-12.911667,-55.845833,BR,private_aerodrome,Brasil,ANAC_privados
SD2W,SD2W,Fazenda Aguapeí,VALPARAÍSO,SP,-21.212222,-50.944444,BR,private_aerodrome,Brasil,ANAC_privados
SD2X,SD2X,Fazenda Conquista,CASSILÂNDIA,MS,-19.289444,-52.375,BR,private_aerodrome,Brasil,ANAC_privados
SD2Y,SD2Y,Caminho do Lobo,COMODORO,MT,-13.708056,-59.772778,BR,private_aerodrome,Brasil,ANAC_privados
SD2Z,SD2Z,Fazenda Recanto,COMODORO,MT,-13.423611,-60.318056,BR,private_aerodrome,Brasil,ANAC_privados
SD30,SD30,Fazenda Serra Negra,VILA BELA DA SANTÍSSIMA TRINDADE,MT,-14.405833,-60.210556,BR,private_aerodrome,Brasil,ANAC_privados
SD31,SD31,Agropecuária Fio D'Água,ÁGUA BOA,MT,-14.089167,-52.248611,BR,private_aerodrome,Brasil,ANAC_privados
SD32,SD32,Fazenda São José,ITAITUBA,PA,-7.8844444,-56.558333,BR,private_aerodrome,Brasil,ANAC_privados
SD33,SD33,Imagem Aviação,MONÇÕES,SP,-20.865278,-50.1075,BR,private_aerodrome,Brasil,ANAC_privados
SD34,SD34,ITA,CORRENTINA,BA,-13.814167,-46.152222,BR,private_aerodrome,Brasil,ANAC_privados
SD36,SD36,Fazenda Santa Maria,CORRENTINA,BA,-13.884167,-46.156389,BR,private_aerodrome,Brasil,ANAC_privados
SD37,SD37,Fazenda Itália,DOM ELISEU,PA,-4.5372222,-47.865556,BR,private_aerodrome,Brasil,ANAC_privados
SD38,SD38,Fazenda Esteios,PORTO VELHO,RO,-9.7302778,-65.6425,BR,private_aerodrome,Brasil,ANAC_privados
SD39,SD39,Pista Santa Rita,TRAIRÃO,PA,-5.5072222,-56.568333,BR,private_aerodrome,Brasil,ANAC_privados
SD3A,SD3A,Fazenda São Martinho,SORRISO,MT,-12.3075,-55.849444,BR,private_aerodrome,Brasil,ANAC_privados
SD3B,SD3B,Fazenda Perdizes,PORTO DOS GAÚCHOS,MT,-11.638333,-56.263611,BR,private_aerodrome,Brasil,ANAC_privados
SD3C,SD3C,Thera Corporate,SÃO PAULO,São Paulo,-23.598889,-46.69,BR,heliport,Brasil,ANAC_helipontos
SD3D,SD3D,Fazenda Santa Maria,TRÊS LAGOAS,MS,-20.346389,-52.318889,BR,private_aerodrome,Brasil,ANAC_privados
SD3E,SD3E,Fazenda Rio Madeira,PORTO VELHO,RO,-9.6422222,-64.837222,BR,private_aerodrome,Brasil,ANAC_privados
SD3F,SD3F,Matusa,JIJOCA DE JERICOACOARA,Ceará,-2.7961111,-40.509167,BR,heliport,Brasil,ANAC_helipontos
SD3G,SD3G,Fazenda Verde,RONDONÓPOLIS,MT,-16.589722,-54.86,BR,private_aerodrome,Brasil,ANAC_privados
SD3H,SD3H,Fazenda Angola,VILA RICA,MT,-9.8058333,-51.869722,BR,private_aerodrome,Brasil,ANAC_privados
SD3I,SD3I,Raízen,PIRACICABA,São Paulo,-22.695556,-47.618333,BR,heliport,Brasil,ANAC_helipontos
SD3J,SD3J,Fazenda Santa Pilar,RIBAS DO RIO PARDO,MS,-21.498889,-53.276944,BR,private_aerodrome,Brasil,ANAC_privados
SD3K,SD3K,Fazenda São Marco,ITAPEVA,SP,-23.921667,-48.820278,BR,private_aerodrome,Brasil,ANAC_privados
SD3L,SD3L,Manoel Rodrigues,INDEPENDÊNCIA,CE,-5.4488889,-40.2225,BR,private_aerodrome,Brasil,ANAC_privados
SD3M,SD3M,Fazenda São Francisco,BARRA DO BUGRES,MT,-14.973333,-57.425556,BR,private_aerodrome,Brasil,ANAC_privados
SD3N,SD3N,Aerounião,JAPORÃ,MS,-23.877778,-54.509722,BR,private_aerodrome,Brasil,ANAC_privados
SD3O,SD3O,Fazenda São Gabriel 2,BRASNORTE,MT,-12.521389,-58.236389,BR,private_aerodrome,Brasil,ANAC_privados
SD3P,SD3P,Fazenda Morando,ANAURILÂNDIA,MS,-22.101667,-52.855833,BR,private_aerodrome,Brasil,ANAC_privados
SD3Q,SD3Q,Fazenda Panorama,SÃO DESIDÉRIO,BA,-13.4,-46.116111,BR,private_aerodrome,Brasil,ANAC_privados
SD3R,SD3R,Fazenda Zohar,VILA BELA DA SANTÍSSIMA TRINDADE,MT,-15.366667,-60.045556,BR,private_aerodrome,Brasil,ANAC_privados
SD3S,SD3S,Fazenda Brasil,SENA MADUREIRA,AC,-9.1325,-68.586667,BR,private_aerodrome,Brasil,ANAC_privados
SD3T,SD3T,Trimais Center,SÃO PAULO,São Paulo,-23.478611,-46.610278,BR,heliport,Brasil,ANAC_helipontos
SD3U,SD3U,Idilia Lurdes Zandona Bedin,SORRISO,MT,-12.426667,-55.681111,BR,private_aerodrome,Brasil,ANAC_privados
SD3V,SD3V,Fazenda Divisão,LUCAS DO RIO VERDE,MT,-12.997222,-56.271389,BR,private_aerodrome,Brasil,ANAC_privados
SD3W,SD3W,Fazenda Rio Vermelho,COMODORO,MT,-13.68,-60.209167,BR,private_aerodrome,Brasil,ANAC_privados
SD3X,SD3X,Campo Bahia Resort,SANTA CRUZ CABRÁLIA,Bahia,-16.241667,-39.009167,BR,heliport,Brasil,ANAC_helipontos
SD3Y,SD3Y,Rio Louro,MACAÉ,RJ,-22.291389,-41.758333,BR,private_aerodrome,Brasil,ANAC_privados
SD3Z,SD3Z,Fazenda Eldorado,SÃO JOSÉ DO XINGU,MT,-10.823056,-52.371389,BR,private_aerodrome,Brasil,ANAC_privados
SD40,SD40,Bon Voyage,POMERODE,Santa Catarina,-26.760833,-49.173889,BR,heliport,Brasil,ANAC_helipontos
SD42,SD42,Fazenda Agromapi,SÃO FÉLIX DE BALSAS,MA,-7.3258333,-44.895,BR,private_aerodrome,Brasil,ANAC_privados
SD43,SD43,CARNEIRINHO AGROINDUSTRIAL S.A.,CARNEIRINHO,MG,-19.809722,-50.781389,BR,private_aerodrome,Brasil,ANAC_privados
SD44,SD44,JAMBEIRO,SERRA NOVA DOURADA,MT,-11.829167,-51.179167,BR,private_aerodrome,Brasil,ANAC_privados
SD46,SD46,Fazenda Brasil Fronteira,PIMENTEIRAS DO OESTE,RO,-13.406111,-61.348333,BR,private_aerodrome,Brasil,ANAC_privados
SD47,SD47,Fazenda Dois Buritis,COXIM,MS,-17.983333,-55.160556,BR,private_aerodrome,Brasil,ANAC_privados
SD48,SD48,Ribeirão II,ITIQUIRA,MT,-17.299444,-54.322222,BR,private_aerodrome,Brasil,ANAC_privados
SD49,SD49,Heliponto Trama,PORTO SEGURO,Bahia,-16.601944,-39.121111,BR,heliport,Brasil,ANAC_helipontos
SD4A,SD4A,Agrícola Dall Olivo,LAGOA VERMELHA,RS,-28.03,-51.520278,BR,private_aerodrome,Brasil,ANAC_privados
SD4B,SD4B,Aeródromo Privado Fazenda Primavera,PORTO ALEGRE DO NORTE,MT,-10.637222,-52.028611,BR,private_aerodrome,Brasil,ANAC_privados
SD4C,SD4C,Anderson Franco,IPATINGA,Minas Gerais,-19.459444,-42.571111,BR,heliport,Brasil,ANAC_helipontos
SD4D,SD4D,Fazenda Ibicuí,ALEGRETE,RS,-29.753056,-55.155278,BR,private_aerodrome,Brasil,ANAC_privados
SD4E,SD4E,Fazenda Seara,JABORANDI,BA,-14.050556,-45.720833,BR,private_aerodrome,Brasil,ANAC_privados
SD4F,SD4F,Fazenda Chapadão,COMODORO,MT,-13.924722,-59.493056,BR,private_aerodrome,Brasil,ANAC_privados
SD4G,SD4G,Fazenda Chocolate,BUJARI,AC,-9.5675,-68.291111,BR,private_aerodrome,Brasil,ANAC_privados
SD4H,SD4H,Nova Era & Thomazi Agropecuárias,COMODORO,MT,-13.633611,-59.796111,BR,private_aerodrome,Brasil,ANAC_privados
SD4I,SD4I,SAC Firearms,ITU,São Paulo,-23.279167,-47.336111,BR,heliport,Brasil,ANAC_helipontos
SD4J,SD4J,FAZENDA OURO E PRATA,CARACOL,MS,-21.8525,-56.863056,BR,private_aerodrome,Brasil,ANAC_privados
SD4K,SD4K,Hospital Estadual de Sorocaba,SOROCABA,São Paulo,-23.526667,-47.519167,BR,heliport,Brasil,ANAC_helipontos
SD4L,SD4L,Monte Carmelo,MONTE CARMELO,MG,-18.720833,-47.485556,BR,private_aerodrome,Brasil,ANAC_privados
SD4M,SD4M,IBR,GUARAMIRANGA,Ceará,-4.2644444,-38.948056,BR,heliport,Brasil,ANAC_helipontos
SD4N,SD4N,HUERB - Hospital de Urgência e Emergência de Rio Branco,RIO BRANCO,Acre,-9.9644444,-67.814444,BR,heliport,Brasil,ANAC_helipontos
SD4O,SD4O,Fazenda Entre Rios,CRISTALINA,GO,-16.711389,-47.521111,BR,private_aerodrome,Brasil,ANAC_privados
SD4P,SD4P,Fazenda Garrote II,BRITÂNIA,GO,-15.335556,-51.157222,BR,private_aerodrome,Brasil,ANAC_privados
SD4Q,SD4Q,Fazenda Garrote I,BRITÂNIA,Goiás,-15.330833,-51.164167,BR,heliport,Brasil,ANAC_helipontos
SD4R,SD4R,Fazenda Boa Vista,ITAITUBA,PA,-7.8580556,-56.719444,BR,private_aerodrome,Brasil,ANAC_privados
SD4S,SD4S,São Salvador Alimentos Itaberaí,ITABERAÍ,Goiás,-16.0075,-49.798889,BR,heliport,Brasil,ANAC_helipontos
SD4T,SD4T,São Salvador Alimentos Nova Veneza,NOVA VENEZA,Goiás,-16.378056,-49.295556,BR,heliport,Brasil,ANAC_helipontos
SD4U,SD4U,Ruaro,DOURADOS,MS,-22.236667,-54.712778,BR,private_aerodrome,Brasil,ANAC_privados
SD4V,SD4V,SOCORRO,SOCORRO,SP,-22.560833,-46.545556,BR,private_aerodrome,Brasil,ANAC_privados
SD4W,SD4W,Fazenda Realeza,CAMPO GRANDE,MS,-20.698056,-54.634444,BR,private_aerodrome,Brasil,ANAC_privados
