icao,ident,name,municipality,state,latitude_deg,longitude_deg,iso_country,type,point_category,source
SW2A,SW2A,Cesconetto,EUNÁPOLIS,BA,-16.293611,-39.559444,BR,private_aerodrome,Brasil,ANAC_privados
SW2B,SW2B,FAZENDA PEDRA DA LETRA,MAURITI,CE,-7.3925,-38.682778,BR,private_aerodrome,Brasil,ANAC_privados
SW2C,SW2C,FAZENDA RECREIO,PARANATINGA,MT,-13.408889,-54.084167,BR,private_aerodrome,Brasil,ANAC_privados
SW2D,SW2D,FAZENDA NÁPOLES,MOJU,PA,-3.1811111,-49.055833,BR,private_aerodrome,Brasil,ANAC_privados
SW2E,SW2E,PONTO NOVO FRUTICULTURA,SÁTIRO DIAS,BA,-11.489444,-38.656389,BR,private_aerodrome,Brasil,ANAC_privados
SW2F,SW2F,Fazenda Santo Antônio,LUCAS DO RIO VERDE,MT,-12.9325,-56.148611,BR,private_aerodrome,Brasil,ANAC_privados
SW2G,SW2G,Tailândia,TAILÂNDIA,PA,-2.9825,-48.934167,BR,private_aerodrome,Brasil,ANAC_privados
SW2H,SW2H,AERÓDROMO KM 47,SÃO MATEUS,ES,-18.750833,-40.262222,BR,private_aerodrome,Brasil,ANAC_privados
SW2I,SW2I,KIKOS RANCH,NOVA CRIXÁS,GO,-14.365556,-50.413889,BR,private_aerodrome,Brasil,ANAC_privados
SWAA,SWAA,Fazenda Ykaraí,NOVA CRIXÁS,GO,-14.544444,-50.592222,BR,private_aerodrome,Brasil,ANAC_privados
SWAB,SWAB,Bradesco Previdência,BARUERI,São Paulo,-23.486667,-46.856667,BR,heliport,Brasil,ANAC_helipontos
SWAD,SWAD,Fazenda Santa Adelaide,BOM JESUS DE GOIÁS,GO,-18.261389,-49.597222,BR,private_aerodrome,Brasil,ANAC_privados
SWAF,SWAF,Fazenda Água Fria,ESMERALDAS,Minas Gerais,-19.804167,-44.324722,BR,heliport,Brasil,ANAC_helipontos
SWAG,SWAG,Agrícola Rio Galhão,MATEIROS,TO,-10.424444,-46.076944,BR,private_aerodrome,Brasil,ANAC_privados
SWAH,SWAH,Eco Aviação,BELO HORIZONTE,Minas Gerais,-19.842222,-43.871389,BR,heliport,Brasil,ANAC_helipontos
SWAI,SWAI,Fazenda Santa Luzia,ICARAÍMA,PR,-23.35,-53.499722,BR,private_aerodrome,Brasil,ANAC_privados
SWAK,SWAK,Assunção do Içana,SÃO GABRIEL DA CACHOEIRA,AM,1.06638889,-67.600556,BR,private_aerodrome,Brasil,ANAC_privados
SWAL,SWAL,Fazenda Santa Albana,ITAPETININGA,SP,-23.581111,-48.281667,BR,private_aerodrome,Brasil,ANAC_privados
SWAM,SWAM,Fazenda Agropecuária Gomes,TAQUARITUBA,SP,-23.648056,-49.150278,BR,private_aerodrome,Brasil,ANAC_privados
SWAN,SWAN,Fazenda Jamaica,POMPÉIA,SP,-22.184444,-50.275278,BR,private_aerodrome,Brasil,ANAC_privados
SWAO,SWAO,Anamoim,SÃO GABRIEL DA CACHOEIRA,AM,1.79972222,-67.383889,BR,private_aerodrome,Brasil,ANAC_privados
SWAP,SWAP,Sementes Petrovina,PEDRA PRETA,MT,-16.848611,-54.064444,BR,private_aerodrome,Brasil,ANAC_privados
SWAR,SWAR,Fazenda Aruanã,RIBEIRÃO CASCALHEIRA,MT,-13.081111,-51.587778,BR,private_aerodrome,Brasil,ANAC_privados
SWAS,SWAS,Usina Açucareira Santo Antônio,SERTÃOZINHO,SP,-21.121111,-47.947778,BR,private_aerodrome,Brasil,ANAC_privados
SWAT,SWAT,Tauana,PRADO,Bahia,-16.9575,-39.161111,BR,heliport,Brasil,ANAC_helipontos
SWAU,SWAU,Fazenda Nossa Senhora Aparecida,PIRAJUBA,MG,-19.946389,-48.578889,BR,private_aerodrome,Brasil,ANAC_privados
SWAV,SWAV,Fazenda Vale dos Sonhos,PALESTINA DE GOIÁS,GO,-16.786944,-51.4425,BR,private_aerodrome,Brasil,ANAC_privados
SWAW,SWAW,Tropical,NOVA SERRANA,Minas Gerais,-19.873889,-45.003333,BR,heliport,Brasil,ANAC_helipontos
SWAX,SWAX,Fazenda Sassapão II,FORMOSA DO RIO PRETO,BA,-10.748889,-45.845278,BR,private_aerodrome,Brasil,ANAC_privados
SWAY,SWAY,Piripiri,PIRIPIRI,PI,-4.3344444,-41.769167,BR,private_aerodrome,Brasil,ANAC_privados
SWAZ,SWAZ,Santo Atanázio,SÃO GABRIEL DA CACHOEIRA,AM,0.399722222,-69.300556,BR,private_aerodrome,Brasil,ANAC_privados
SWBB,SWBB,Castelli Fazenda Sobradinho,CORRENTINA,BA,-13.62,-46.097222,BR,private_aerodrome,Brasil,ANAC_privados
SWBD,SWBD,Fazenda Mundo Novo,SONORA,MS,-17.94,-54.929722,BR,private_aerodrome,Brasil,ANAC_privados
SWBF,SWBF,Fazenda Boa Fortuna,PIUM,TO,-10.005,-49.488889,BR,private_aerodrome,Brasil,ANAC_privados
SWBH,SWBH,Fazenda São José do Rancho Grande,AQUIDAUANA,MS,-20.156111,-55.545556,BR,private_aerodrome,Brasil,ANAC_privados
SWBI,SWBI,Santa Colomba Cafés,COCOS,BA,-14.623333,-45.251389,BR,private_aerodrome,Brasil,ANAC_privados
SWBJ,SWBJ,Fazenda Itarema,CANARANA,MT,-13.255,-52.04,BR,private_aerodrome,Brasil,ANAC_privados
SWBK,SWBK,Fazenda Paladino,SÃO DESIDÉRIO,BA,-13.089167,-45.832222,BR,private_aerodrome,Brasil,ANAC_privados
SWBL,SWBL,Marinas Portobello,CAPITÓLIO,Minas Gerais,-20.629722,-46.006111,BR,heliport,Brasil,ANAC_helipontos
SWBM,SWBM,Bauminas,CATAGUASES,Minas Gerais,-21.375556,-42.7325,BR,heliport,Brasil,ANAC_helipontos
SWBN,SWBN,Fazenda São Gabriel,BALSAS,MA,-7.49,-46.145833,BR,private_aerodrome,Brasil,ANAC_privados
SWBO,SWBO,Fazenda Perobal,CORUMBIARA,RO,-12.909722,-61.370556,BR,private_aerodrome,Brasil,ANAC_privados
SWBP,SWBP,Fazenda Continental,COLÔMBIA,SP,-20.241111,-48.658333,BR,private_aerodrome,Brasil,ANAC_privados
SWBQ,SWBQ,Geraldo Alvino Covre,PINHEIROS,ES,-18.463333,-40.175833,BR,private_aerodrome,Brasil,ANAC_privados
SWBS,SWBS,Rolim de Moura,ROLIM DE MOURA,RO,-11.6575,-61.775833,BR,private_aerodrome,Brasil,ANAC_privados
SWBT,SWBT,Fazenda Tupi,NOVA ANDRADINA,MS,-21.805278,-53.128611,BR,private_aerodrome,Brasil,ANAC_privados
SWBU,SWBU,Ouro Branco,INDIARA,Goiás,-17.125278,-49.965278,BR,heliport,Brasil,ANAC_helipontos
SWBV,SWBV,Auaris,AMAJARI,RR,4.01638889,-64.518611,BR,private_aerodrome,Brasil,ANAC_privados
